eventid,iyear,imonth,country_txt,region_txt,city,latitude,longitude,nkill,nwound
202106070019,2021,6,South Sudan,Sub-Saharan Africa,Aluakluak,6.426059,30.057148,2,2
202106070021,2021,6,Kenya,Sub-Saharan Africa,Kormatto,3.774301,40.799511,3,18
202106070023,2021,6,Ivory Coast,Sub-Saharan Africa,Tougbo,9.763558,-4.139882,1,0
202106070025,2021,6,Afghanistan,South Asia,Ahangaran,35.233597,69.145276,0,0
202106070026,2021,6,Afghanistan,South Asia,Kohsan district,34.653915,61.201502,0,0
202106070029,2021,6,Mexico,North America,Felipe Angeles,25.867973,-109.040726,0,0
202106070030,2021,6,India,South Asia,Sukma district,17.992032,81.443681,0,0
202106070033,2021,6,Afghanistan,South Asia,Unknown,34.351349,68.238534,1,0
202106070035,2021,6,Philippines,Southeast Asia,Rizal,12.606923,123.676122,1,0
202106070037,2021,6,Colombia,South America,Salonica,4.129354,-76.368502,0,0
202106070038,2021,6,Myanmar,Southeast Asia,Pang Lon,21.242933,98.676073,0,0
202106070039,2021,6,Nigeria,Sub-Saharan Africa,Iraye,6.721585,3.590128,0,0
202106070040,2021,6,Nigeria,Sub-Saharan Africa,Iraye,6.721585,3.590128,0,1
202106070043,2021,6,Chile,South America,Huape,-37.774727,-73.375151,0,0
202106070048,2021,6,Afghanistan,South Asia,Charsada district,35.119167,65.117778,0,5
202106070049,2021,6,Afghanistan,South Asia,Kharestan,34.099578,64.905955,0,13
202106070050,2021,6,Afghanistan,South Asia,Ahangaran,35.233597,69.145276,0,0
202106080003,2021,6,Afghanistan,South Asia,Tagab district,34.785587,69.720906,2,0
202106080004,2021,6,Afghanistan,South Asia,Bahrami Shahid district,33.516084,68.110742,1,0
202106080005,2021,6,Afghanistan,South Asia,Jaghatu district,33.770837,68.3697,3,1
202106080006,2021,6,Afghanistan,South Asia,Shindand district,33.307572,62.125098,3,0
202106080007,2021,6,Iraq,Middle East & North Africa,Derker,37.198978,42.823591,1,0
202106080011,2021,6,Afghanistan,South Asia,Muqur district,35.039722,63.292501,0,0
202106080015,2021,6,Nigeria,Sub-Saharan Africa,Ayetoro Ekiti,7.924955,5.144776,0,0
202106080021,2021,6,Myanmar,Southeast Asia,Mang Li,22.095278,97.513056,0,0
202106080022,2021,6,Myanmar,Southeast Asia,Khe Moon,22.371039,97.560074,0,0
202106080023,2021,6,Nigeria,Sub-Saharan Africa,Faje,8.366667,4.416667,0,0
202106080024,2021,6,Nigeria,Sub-Saharan Africa,Faje,8.366674,4.416671,4,1
202106080026,2021,6,Afghanistan,South Asia,Jawand district,34.925508,64.147824,0,0
202106080027,2021,6,Iraq,Middle East & North Africa,Unknown,31.498339,45.564718,0,0
202106080031,2021,6,Myanmar,Southeast Asia,Unknown,16.432853,98.319122,1,0
202106080032,2021,6,Mali,Sub-Saharan Africa,Hourara,15.069618,0.379423,0,0
202106090001,2021,6,Afghanistan,South Asia,Ishkamish district,36.420649,69.35927,4,2
202106090002,2021,6,Afghanistan,South Asia,Qadis district,34.855085,63.486204,2,0
202106090003,2021,6,Afghanistan,South Asia,Khash Rod district,31.735833,62.910278,11,5
202106090004,2021,6,Afghanistan,South Asia,Pashtun Zarghun district,34.184167,62.754444,1,0
202106090005,2021,6,Afghanistan,South Asia,Arghanj Khaw district,37.223056,70.832778,14,9
202106090006,2021,6,Afghanistan,South Asia,Pashtun Kot district,35.598206,64.763659,1,0
202106090007,2021,6,Afghanistan,South Asia,Sheikh Jalal,36.105849,68.85464,10,16
202106090009,2021,6,Iraq,Middle East & North Africa,Yathrib,33.933333,44.366667,0,0
202106090012,2021,6,Iraq,Middle East & North Africa,Al-Haml,35.329201,43.943679,0,0
202106090013,2021,6,Pakistan,South Asia,Palo Dheri,34.351959,72.194985,2,0
202106090015,2021,6,Syria,Middle East & North Africa,Asadiyah,36.780806,40.141434,1,3
202106090016,2021,6,Nigeria,Sub-Saharan Africa,Anyom,7.388839,9.873542,6,0
202106090017,2021,6,India,South Asia,Rengpang,24.778176,93.450673,0,1
202106090018,2021,6,Somalia,Sub-Saharan Africa,Deynunay,3.023172,43.478869,12,0
202106090037,2021,6,Kenya,Sub-Saharan Africa,Qoqaye,3.308969,40.481628,2,3
202106090039,2021,6,Nigeria,Sub-Saharan Africa,Gbabu,8.383333,4.383333,0,1
202106090040,2021,6,Philippines,Southeast Asia,Lipa,13.903317,121.192749,1,0
202106090041,2021,6,Colombia,South America,Corinto,3.170462,-76.256009,2,0
202106090044,2021,6,Tunisia,Middle East & North Africa,Unknown,35.080915,8.660058,0,1
202106090045,2021,6,Colombia,South America,Agua Viva,6.76818,-71.748,2,0
202106100001,2021,6,Afghanistan,South Asia,Qadis district,34.855019,63.486908,6,1
202106100002,2021,6,Afghanistan,South Asia,Qarabagh district,34.854119,69.163465,1,0
202106100003,2021,6,Afghanistan,South Asia,Unknown,34.717895,63.113163,2,5
202106100005,2021,6,Afghanistan,South Asia,Muqur district,35.039707,63.292531,2,3
202106100007,2021,6,Afghanistan,South Asia,Pashtun Kot district,35.598206,64.763659,2,2
202106100009,2021,6,Niger,Sub-Saharan Africa,Dune,19.331456,5.771319,4,0
202106100010,2021,6,Turkey,Middle East & North Africa,Pervari district,37.932647,42.547608,1,1
202106100013,2021,6,Afghanistan,South Asia,Chah Ab district,37.434908,69.889683,9,6
202106100017,2021,6,Burkina Faso,Sub-Saharan Africa,Gorguel,14.242733,-0.994291,15,2
202106100018,2021,6,Nigeria,Sub-Saharan Africa,Zongo-Akiki,7.787267,8.517749,5,0
202106100019,2021,6,Iraq,Middle East & North Africa,Manbar,36.741389,43.893333,0,0
202106100020,2021,6,Iraq,Middle East & North Africa,Manbar,36.741003,43.888662,0,0
202106100022,2021,6,Nigeria,Sub-Saharan Africa,Eke-Onuimo,5.805521,7.247459,0,0
202106100023,2021,6,Nigeria,Sub-Saharan Africa,Unknown,6.95446,3.934361,0,1
202106100024,2021,6,Philippines,Southeast Asia,Santiago,9.265556,125.559167,1,4
202106100025,2021,6,Nigeria,Sub-Saharan Africa,Idemili South district,6.07731,6.867267,1,0
202106100026,2021,6,Iraq,Middle East & North Africa,Rutbah district,33.059548,40.285539,0,0
202106100028,2021,6,Iraq,Middle East & North Africa,Sheikh Saad,32.562222,46.266667,0,7
202106100029,2021,6,Afghanistan,South Asia,Bangi district,36.5371,69.430782,0,0
202106100032,2021,6,Democratic Republic of the Congo,Sub-Saharan Africa,Livano,0.542985,29.490917,1,0
202106100033,2021,6,Democratic Republic of the Congo,Sub-Saharan Africa,Kitovo,0.548807,29.453217,1,0
202106100035,2021,6,Chile,South America,El Vergel,-37.830711,-72.657898,0,0
202106100036,2021,6,Chile,South America,Villa El Parque,-37.830509,-72.656542,0,0
202106110002,2021,6,Afghanistan,South Asia,Andar district,33.316667,68.45,5,4
202106110003,2021,6,Afghanistan,South Asia,Tulak district,34.073947,63.675056,1,3
202106110005,2021,6,Afghanistan,South Asia,Saydabad district,33.924758,68.657236,4,18
202106110006,2021,6,Afghanistan,South Asia,Muqur district,35.039707,63.292531,3,0
202106110014,2021,6,Burkina Faso,Sub-Saharan Africa,Kogolbaraogo,13.718252,-2.302446,7,4
202106110015,2021,6,Mali,Sub-Saharan Africa,Zon,13.848333,-3.1225,0,0
